GPV;PDV;Activadas FTTH;Activadas Móvil
SARAY;SMARTPHONEHUERCAL_CRUSERTEL;0;1
JUANLU;SOLOPANTE_CRUSERTEL;0;1
SARAY;SORVILAN_CRUSERTEL;1;3
MAR;STIPMOVIL_CRUSERTEL;2;3
JENI;STRONG_CRUSERTEL;1;6
JENI;STS_CRUSERTEL;110;233
JENI;SURMOBILE_CRUSERTEL;46;92
MAR;TECNOMARTINEZ_CRUSERTEL;3;8
JUANLU;TECNOSECOND_CRUSERTEL;1;5
MAR;TELBEA_CRUSERTEL;67;146
JENI;THEBLACKPHONE_CRUSERTEL;0;13
JUANLU;THEPHONESPACE_CRUSERTEL;5;9
SARAY;TINA_CRUSERTEL;0;1
JUANLU;TODOCINE_CRUSERTEL;1;3
JUANLU;TOLATEC_CRUSERTEL;4;13
JUANLU;TYP_CRUSERTEL;1;2
MAR;UBECARTUCHOS_CRUSERTEL;0;1
SARAY;VELARCOM_CRUSERTEL;48;98
MAR;VENDING_CRUSERTEL;0;5
SARAY;VIAJESNARILA_CRUSERTEL;0;1
JUANLU;WIFIPARATODOS_CRUSERTEL;9;24
JUANLU;YOURCHEAP_CRUSERTEL;0;1
JENI;ZONEMOLLINA_CRUSERTEL;2;4
MAR;DLJASESORES_CRUSERTEL;0;1
MAR;SERVIJAEN_CRUSERTEL;0;1
JENI;CARLIN_CRUSERTEL;0;1
JUANLU;VAPEOGR_CRUSERTEL;0;1
MAR;GREEN_CRUSERTEL;0;1
